rate_date,rate_value
01/07/1994,0.941012
01/08/1994,0.990038
01/09/1994,1.039539
01/10/1994,1.056483
01/11/1994,1.076556
01/12/1994,1.108314
01/01/1995,1.133251
01/02/1995,1.153422
01/03/1995,1.167493
01/04/1995,1.182436
01/05/1995,1.205493
01/06/1995,1.238885
01/07/1995,1.266759
01/08/1995,1.299568
01/09/1995,1.318931
01/10/1995,1.331724
01/11/1995,1.349569
01/12/1995,1.369272
01/01/1996,1.387894
01/02/1996,1.410516
01/03/1996,1.427442
01/04/1996,1.436292
01/05/1996,1.446346
01/06/1996,1.465437
01/07/1996,1.481703
01/08/1996,1.502002
01/09/1996,1.512516
01/10/1996,1.514179
01/11/1996,1.516298
01/12/1996,1.522514
01/01/1997,1.525559
01/02/1997,1.542797
01/03/1997,1.55375
01/04/1997,1.562917
01/05/1997,1.573544
01/06/1997,1.581411
01/07/1997,1.590108
01/08/1997,1.595037
01/09/1997,1.597748
01/10/1997,1.596949
01/11/1997,1.600941
01/12/1997,1.602061
01/01/1998,1.609911
01/02/1998,1.618604
01/03/1998,1.628963
01/04/1998,1.635315
01/05/1998,1.638912
01/06/1998,1.645631
01/07/1998,1.651226
01/08/1998,1.649409
01/09/1998,1.643306
01/10/1998,1.636075
01/11/1998,1.636238
01/12/1998,1.634438
01/01/1999,1.636562
01/02/1999,1.64769
01/03/1999,1.658235
01/04/1999,1.678465
01/05/1999,1.691557
01/06/1999,1.700183
01/07/1999,1.699842
01/08/1999,1.71327
01/09/1999,1.727147
01/10/1999,1.735264
01/11/1999,1.749146
01/12/1999,1.766462
01/01/2000,1.782536
01/02/2000,1.794122
01/03/2000,1.800222
01/04/2000,1.801842
01/05/2000,1.81031
01/06/2000,1.811939
01/07/2000,1.813388
01/08/2000,1.827532
01/09/2000,1.863899
01/10/2000,1.872286
01/11/2000,1.875656
01/12/2000,1.878844
01/01/2001,1.890117
01/02/2001,1.902024
01/03/2001,1.911534
01/04/2001,1.918415
01/05/2001,1.928007
01/06/2001,1.937454
01/07/2001,1.944816
01/08/2001,1.963097
01/09/2001,1.986261
01/10/2001,1.993808
